hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
TTC Hotel Phan Thiet,"10.9258278295092,108.11486184597",,,Deluxe Twin Room with Ocean View,,2,4 out of 5,8.0,Very good,434 reviews,"VND 1,020,000","Breakfast included,FREE cancellation,• No prepayment needed"
Ananda Resort,"10.9471960059076,108.201175332069",,,Standard Double or Twin Room,,2,3 out of 5,7.7,Good,615 reviews,"VND 460,000","FREE cancellation,• No prepayment needed"
Full Moon Beach Resort,"10.9550882000336,108.2321575284",,,Standard Double or Twin Room,,2,2 out of 5,8.3,Very good,443 reviews,"VND 787,500","Breakfast included,FREE cancellation,• No prepayment needed"
Sailing Club Resort Mui Ne,"10.9445415269866,108.195832371712",,,Sapa House Garden View,,2,4 out of 5,9.4,Superb,254 reviews,"VND 2,693,250",Breakfast included
Muong Thanh Holiday Muine Hotel,"10.9500663945684,108.258727453512",,,Deluxe King or Twin Room,,2,4 out of 5,7.6,Good,368 reviews,"VND 840,000",Breakfast included
Bamboo Village Beach Resort & Spa,"10.945896420241,108.198758661747",,,Deluxe Garden View Room,,2,4 out of 5,9.4,Superb,371 reviews,"VND 1,901,316",Breakfast included
The Cliff Resort & Residences,"10.9372099854853,108.179068565369",,,Azul Twin or Double Room with Pool View,,2,4 out of 5,8.8,Fabulous,378 reviews,"VND 2,268,000",Breakfast included
Sunny Beach Resort & Spa,"10.9501111651732,108.208116889",,,Deluxe Cozy,,2,4 out of 5,8.4,Very good,99 reviews,"VND 1,040,000","Breakfast included,FREE cancellation,• No prepayment needed"
Blue Ocean Resort,"10.9511566127702,108.210528194904",,,Standard Double or Twin Room,,2,4 out of 5,8.5,Very good,350 reviews,"VND 1,603,857",Breakfast included
Unique Mui Ne Resort and Spa,"10.9428087293062,108.194960653782",,,Deluxe Room with Garden View,,2,4 out of 5,7.5,Good,198 reviews,"VND 1,272,098",Breakfast included
Four Oceans Resort,"10.944994341995,108.197184659089",,,Standard Double or Twin Room with Garden View,,2,3 out of 5,8.4,Very good,884 reviews,"VND 1,001,700",Breakfast included
White Sand Resort Mui Ne,"10.9327980363512,108.166716992855",,,Bungalow with Garden View,,2,4 out of 5,8.0,Very good,181 reviews,"VND 1,487,500",Breakfast included
Venus MuiNe Hotel,"10.9532896304238,108.242765665054",,,Standard King Room,,2,2 out of 5,7.4,Good,364 reviews,"VND 450,000",Breakfast included
Lotus Village Resort,"10.9551908998719,108.232042193413",,,Standard Garden View - Hill Side,,2,3 out of 5,7.7,Good,163 reviews,"VND 797,500",Breakfast included
Victoria Phan Thiet Beach Resort & Spa,"10.9369624374567,108.176021575928",,,Bungalow with Garden View,,2,4 out of 5,9.1,Superb,341 reviews,"VND 2,914,834",Breakfast included
Seahorse Resort & Spa,"10.9430252564372,108.193757533736",,,Deluxe Double or Twin Room,,2,4 out of 5,8.2,Very good,140 reviews,"VND 1,657,925","Breakfast included,FREE cancellation,• No prepayment needed"
Pandanus Resort,"10.9448891386749,108.297874331474",,,Superior Standard Room,,2,4 out of 5,8.8,Fabulous,321 reviews,"VND 1,731,600",Breakfast included
